Profile 2 FLIR AX5

,Li1,Li2,Li3,Li4,Li5,Li6,Li7,Li8,Li9
Emissivity,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
Distance,0,0,0,0,0,0,0,0,0
Reflected temperature,22,22,22,22,22,22,22,22,22
Start point X,178,193,214,226,250,262,193,223,261
Start point Y,254,253,254,254,255,252,254,253,253
End point X,178,190,209,221,240,248,192,220,250
End point Y,190,194,128,125,9,0,186,125,5

Index,Li1,Li2,Li3,Li4,Li5,Li6,Li7,Li8,Li9
81,,,127.24,128.64,127.01,120.28,,129.95,125.21
82,,,126.85,127.55,125.91,119.48,,129.18,124.66
83,,,126.46,127.09,125.29,118.67,,128.79,123.32
84,,,125.84,126.15,124.5,117.7,,128.4,122.76
85,,,125.37,124.74,123.47,117.37,,127.63,121.65
86,,,125.21,124.19,123.16,115.9,,126.77,121.33
87,,,124.82,123.87,122.2,115.4,,125.76,120.2
88,,,124.42,122.68,121.41,114.74,,125.29,119.48
89,,,123.95,122.05,120.53,113.5,,124.42,118.91
90,,,123.24,121.49,120.04,113.33,,124.03,118.35
91,,,122.68,120.36,118.99,112.67,,123.4,117.53
92,,,122.76,121.73,118.35,112.08,,123.08,116.8
93,,,121.81,121.17,117.94,111.32,,122.36,115.9
94,,,121.09,121.09,116.96,110.65,,121.73,115.24
95,,,120.53,120.28,116.55,109.3,,121.25,114.25
96,,,119.16,119.8,115.57,108.53,,120.69,113.75
97,,,118.83,119.32,114.82,106.73,,119.88,113.17
98,,,118.75,119.07,114.41,105.69,,119.56,112.75
99,,,118.67,118.35,113.42,104.3,,119.4,111.49
100,,,118.51,117.61,112.75,103.43,,118.83,111.16
101,,,117.78,117.37,112.16,102.81,,118.59,110.06
102,,,117.61,116.8,111.83,104.65,,117.94,110.23
103,,,117.21,116.31,110.9,103.95,,118.02,109.21
104,,,116.72,116.06,110.48,103.34,,117.61,108.53
105,,,116.55,115.24,109.8,102.72,,116.8,108.02
106,,,116.22,115.07,109.13,102.02,,116.31,107.59
107,,,116.14,114.08,108.87,101.57,,116.14,106.99
108,,,115.24,113.83,107.5,101.13,,115.73,106.38
109,,,115.07,113.08,107.24,100.24,,115.65,106.12
110,,,114.49,112.92,106.81,99.7,,115.4,105.08
111,,,114.58,112.33,106.56,98.72,,114.82,104.21
112,,,113.75,112.25,105.61,98.54,,114.66,104.47
113,,,113.91,112,105.26,97.72,,114.25,104.04
114,,,114.08,111.16,104.47,96.81,,113.91,103.25
115,,,113.42,110.99,103.95,96.91,,114.08,102.63
116,,,113.25,110.31,103.6,96.08,,113.58,102.02
117,,,113,110.14,102.99,95.99,,113.17,101.93
118,,,113.08,112.16,102.28,96.18,,113,101.4
119,,,112.92,111.83,101.57,96.27,,112.08,101.22
120,,,111.83,110.99,100.95,96.27,,111.58,100.15
121,,,111.32,110.4,100.86,95.9,,110.82,99.7
122,,,109.89,109.55,99.79,95.08,,108.27,99.34
123,,,107.16,107.16,99.34,94.34,,103.78,98.63
124,,,101.93,104.04,99.17,93.97,,99.08,98.54
125,,,97,100.69,98.9,96.18,,94.25,97.99
126,,,92.39,97.54,98.08,95.99,,90.79,97.81
127,,,89.09,95.08,97.18,95.44,,88.51,97.63
128,,,,93.6,97.45,94.52,,87.17,96.81
129,,,,92.48,96.81,93.78,,85.91,96.63
130,,,,91.92,96.08,93.78,,,95.99
131,,,,,95.44,93.04,,,95.44
132,,,,,95.17,92.39,,,95.63
133,,,,,94.8,92.11,,,94.89
134,,,,,94.25,91.36,,,94.52
135,,,,,93.69,90.32,,,94.15
136,,,,,93.13,89.85,,,93.78
137,,,,,92.85,89.09,,,93.23
138,,,,,92.85,88.8,,,92.85
139,,,,,92.3,88.51,,,92.67
140,,,,,92.2,87.84,,,91.92
141,,,,,91.83,87.27,,,91.36
142,,,,,91.36,87.36,,,90.89
143,,,,,91.26,86.59,,,90.32
144,,,,,90.89,86.3,,,90.23
145,,,,,90.42,86.2,,,89.75
146,,,,,90.42,85.52,,,88.99
147,,,,,90.51,88.32,,,88.9
148,,,,,89.94,87.65,,,88.71
149,,,,,89.09,87.84,,,88.8
150,,,,,88.32,87.36,,,88.23
151,,,,,88.32,86.49,,,87.94
152,,,,,87.94,86.01,,,87.65
153,,,,,88.23,85.52,,,87.17
154,,,,,87.84,85.03,,,86.78
155,,,,,87.75,84.84,,,86.88
156,,,,,87.36,84.15,,,86.49
157,,,,,87.17,83.56,,,85.72
158,,,,,86.88,83.46,,,85.81
159,,,,,86.88,82.97,,,85.13
160,,,,,86.69,82.38,,,84.84
161,,,,,86.78,81.88,,,85.33
162,,,,,86.4,81.68,,,84.74
163,,,,,86.49,80.58,,,84.45
164,,,,,85.91,80.38,,,84.25
165,,,,,85.81,80.17,,,84.15
166,,,,,85.33,79.67,,,83.86
167,,,,,85.52,79.37,,,84.35
168,,,,,85.23,79.37,,,83.76
169,,,,,85.33,82.38,,,83.86
170,,,,,84.64,81.68,,,82.87
171,,,,,84.55,81.88,,,83.76
172,,,,,84.25,81.58,,,83.17
173,,,,,83.96,81.28,,,82.67
174,,,,,83.96,80.48,,,82.97
175,,,,,83.07,80.48,,,82.67
176,,,,,83.07,80.27,,,82.38
177,,,,,82.57,79.97,,,82.18
178,,,,,82.38,79.67,,,82.18
179,,,,,81.98,79.67,,,81.88
180,,,,,81.48,79.47,,,81.88
181,,,,,81.98,79.37,,,81.98
182,,,,,81.88,78.45,,,81.38
183,,,,,81.38,78.45,,,81.58
184,,,,,81.88,78.04,,,81.18
185,,,,,81.48,78.04,,,81.08
186,,,,,80.48,77.63,,,80.98
187,,,,,79.97,78.04,,,80.78
188,,,,,79.77,77.63,,,80.17
189,,,,,79.97,77.43,,,80.58
190,,,,,80.48,77.43,,,80.07
191,,,,,80.78,77.22,,,80.07
192,,,,,80.98,79.57,,,79.87
193,,,,,80.78,79.16,,,79.47
194,,,,,80.38,78.96,,,79.57
195,,,,,80.58,78.35,,,80.07
196,,,,,79.57,78.66,,,79.47
197,,,,,79.87,78.66,,,79.47
198,,,,,78.96,78.25,,,79.57
199,,,,,79.37,78.15,,,79.37
200,,,,,79.06,78.04,,,79.47
201,,,,,79.37,78.35,,,79.37
202,,,,,79.87,78.45,,,79.37
203,,,,,78.96,77.74,,,79.16
204,,,,,79.47,77.63,,,79.26
205,,,,,78.96,77.74,,,79.47
206,,,,,79.16,77.53,,,78.86
207,,,,,79.26,77.02,,,78.86
208,,,,,78.86,76.81,,,78.86
209,,,,,79.16,76.5,,,78.66
210,,,,,78.96,76.4,,,78.66
211,,,,,78.55,76.19,,,78.86
212,,,,,78.86,75.67,,,78.35
213,,,,,78.76,74.95,,,78.66
214,,,,,78.96,77.63,,,78.66
215,,,,,79.06,77.53,,,78.45
216,,,,,78.76,77.22,,,78.76
217,,,,,78.55,77.02,,,78.15
218,,,,,78.25,77.12,,,78.45
219,,,,,78.04,76.5,,,78.76
220,,,,,77.43,76.61,,,78.35
221,,,,,77.33,76.19,,,78.15
222,,,,,77.84,76.3,,,78.04
223,,,,,76.71,75.99,,,78.15
224,,,,,76.61,76.09,,,77.74
225,,,,,76.81,75.99,,,77.53
226,,,,,76.91,75.05,,,77.84
227,,,,,77.02,74.63,,,78.15
228,,,,,76.71,73.16,,,77.94
229,,,,,77.02,73.37,,,77.63
230,,,,,77.84,73.9,,,78.35
231,,,,,78.45,73.37,,,77.94
232,,,,,78.15,72.53,,,77.84
233,,,,,77.74,72.21,,,77.22
234,,,,,77.53,70.82,,,77.22
235,,,,,77.22,70.07,,,77.63
236,,,,,77.53,75.57,,,77.53
237,,,,,77.53,74.84,,,77.63
238,,,,,77.43,74.32,,,77.63
239,,,,,77.63,73.79,,,77.43
240,,,,,77.02,73.58,,,76.3
241,,,,,76.81,69.74,,,74.32
242,,,,,73.48,62.99,,,72.42
243,,,,,70.18,58.96,,,72.1
244,,,,,67.67,55.04,,,72.1
245,,,,,67.01,52.11,,,71.46
246,,,,,65.24,49.36,,,70.5
247,,,,,64.01,45.12,,,
